"Year","NYCHA Development","Borough","Total number of resident job placements","Average wage of such residents","Total number of resident connections to services","Total number of residents that applied for the NYCHA Resident Training Academy","Total number of residents that were accepted and enrolled","Total number residents placed into full-time or part-time jobs","Average Wage of such residents","Number of residents that enrolled in financial counseling services/workshops through the REES Zone Partner program","Total number of residents enrolled in vocational training programs through the program","Total number of residents enrolled in prep courses for English as a Second Language (ESOL) or the Test Assessing Secondary Completion (TASC) through the program"
"2024","FHA REPOSSESSED HOUSES (GROUP VII)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FHA REPOSSESSED HOUSES (GROUP VI)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FHA REPOSSESSED HOUSES (GROUP V)",,"< 5","$22.15","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","FHA REPOSSESSED HOUSES (GROUP IX)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FHA REPOSSESSED HOUSES (GROUP IV)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FHA REPOSSESSED HOUSES (GROUP III)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FHA REPOSSESSED HOUSES (GROUP II)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FHA REPOSSESSED HOUSES (GROUP I)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","FENIMORE-LEFFERTS",,"< 5","$42.70","< 5","N/A","N/A","< 5","$42.70","N/A","< 5","N/A"
"2024","FARRAGUT",,"9","$29.33","60","22","< 5","< 5","$17.31","< 5","8","N/A"
"2024","ELLIOTT",,"< 5","$39.33","< 5","< 5","< 5","N/A","N/A","N/A","< 5","N/A"
"2024","EDENWALD",,"< 5","$16.16","17","< 5","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","EASTCHESTER GARDENS",,"< 5","$18.88","17","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","EAST RIVER",,"6","$18.35","21","13","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","EAST NEW YORK CITY LINE",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","EAST 180TH STREET-MONTEREY AVENUE",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","EAST 173RD STREET-VYSE AVENUE",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","EAST 165TH STREET-BRYANT AVENUE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","EAST 152ND STREET-COURTLANDT AVENUE",,"< 5","$44.70","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","EAGLE AVENUE-EAST 163RD STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","DYCKMAN",,"< 5","$28.64","19","< 5","< 5","N/A","N/A","< 5","5","N/A"
"2024","DREW-HAMILTON",,"7","$17.31","30","12","< 5","< 5","$17.31","< 5","6","N/A"
"2024","DOUGLASS II",,"< 5","$25.05","13","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","DOUGLASS I",,"< 5","$17.31","25","14","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","DOUGLASS ADDITION",,"< 5","$22.00","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","DE HOSTOS APARTMENTS",,"< 5","$17.31","< 5","< 5","< 5","< 5","$17.31","< 5","N/A","N/A"
"2024","DAVIDSON",,"< 5","$26.63","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","CYPRESS HILLS",,"14","$20.67","44","14","5","5","$17.31","N/A","< 5","N/A"
"2024","CROWN HEIGHTS",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","CORSI HOUSES",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","COOPER PARK",,"13","$33.85","22","15","5","< 5","$18.09","< 5","7","N/A"
"2024","CONLON LIHFE TOWER",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","CONEY ISLAND I (SITES 4 & 5)",,"< 5","$17.31","12","< 5","< 5","N/A","N/A","< 5","< 5","N/A"
"2024","CONEY ISLAND I (SITE 8)",,"< 5","$40.80","< 5","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2024","CONEY ISLAND I (SITE 1B)",,"< 5","$18.00","13","5","< 5","N/A","N/A","< 5","N/A","N/A"
"2024","CONEY ISLAND",,"7","$17.31","12","6","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","COLLEGE AVENUE-EAST 165TH STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","CLINTON",,"< 5","$27.79","17","< 5","N/A","N/A","N/A","< 5","6","N/A"
"2024","CLASON POINT GARDENS",,"< 5","$27.79","5","6","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","CLAREMONT REHAB (GROUP 5)",,"< 5","$20.38","< 5","< 5","< 5","N/A","N/A","N/A","N/A","N/A"
"2024","CLAREMONT REHAB (GROUP 4)",,"N/A","N/A","6","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","CLAREMONT REHAB (GROUP 3)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","CLAREMONT REHAB (GROUP 2)",,"< 5","$25.00","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","CLAREMONT PARKWAY-FRANKLIN AVENUE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","CHELSEA ADDITION",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","CHELSEA",,"< 5","$17.31","6","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","CASTLE HILL",,"6","$19.78","40","9","< 5","< 5","$17.31","N/A","10","N/A"
"2024","CASSIDY-LAFAYETTE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","CARVER",,"8","$19.87","29","9","< 5","< 5","$17.31","< 5","7","N/A"
"2024","CARLETON MANOR",,"< 5","$18.51","< 5","< 5","< 5","N/A","N/A","N/A","< 5","N/A"
"2024","CAREY GARDENS",,"10","$25.30","34","18","< 5","< 5","$18.87","< 5","< 5","< 5"
"2024","CAMPOS PLAZA II",,"< 5","$26.53","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BUTLER",,"8","$38.78","44","7","N/A","< 5","$17.31","N/A","8","N/A"
"2024","BUSHWICK II CDA (GROUP E)",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BUSHWICK II (GROUPS B & D)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BUSHWICK II (GROUPS A & C)",,"N/A","N/A","10","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","BUSHWICK",,"9","$20.31","25","9","5","5","$17.93","< 5","< 5","N/A"
"2024","BRYANT AVENUE-EAST 174TH STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BROWNSVILLE",,"9","$18.11","35","23","5","< 5","$17.31","< 5","< 5","N/A"
"2024","BROWN",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BRONX RIVER ADDITION",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BRONX RIVER",,"< 5","$17.31","32","13","< 5","< 5","$17.31","< 5","5","N/A"
"2024","BREVOORT",,"7","$21.67","28","12","< 5","< 5","$18.87","< 5","5","N/A"
"2024","BREUKELEN",,"8","$32.53","50","25","5","< 5","$29.49","5","5","N/A"
"2024","BRACETTI PLAZA",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BOYNTON AVENUE REHAB",,"< 5","$18.78","N/A","< 5","< 5","< 5","$17.31","N/A","N/A","N/A"
"2024","BOULEVARD",,"10","$28.83","17","9","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","BOSTON SECOR",,"< 5","$24.50","11","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","BOSTON ROAD PLAZA",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BORINQUEN PLAZA II",,"< 5","$18.31","6","< 5","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","BORINQUEN PLAZA I",,"< 5","$26.53","8","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","BLAND",,"< 5","$17.31","11","< 5","< 5","N/A","N/A","< 5","6","N/A"
"2024","BETHUNE GARDENS",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BETANCES VI",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BETANCES V",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","BETANCES IV",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BETANCES III, 9A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BETANCES III, 18",,"N/A","N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BETANCES III, 13",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BETANCES II, 9A",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","BETANCES II, 18",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BETANCES II, 13",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","BETANCES I",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BERRY STREET-SOUTH 9TH STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BERRY",,"< 5","$32.49","19","< 5","< 5","N/A","N/A","< 5","< 5","N/A"
"2024","BELMONT-SUTTER AREA",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BEDFORD-STUYVESANT REHAB",,"< 5","$17.31","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BEACH 41ST STREET-BEACH CHANNEL DRIVE",,"< 5","$17.31","22","8","N/A","< 5","$17.31","< 5","5","N/A"
"2024","BAYCHESTER",,"N/A","N/A","5","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","BAY VIEW",,"15","$25.20","81","25","6","< 5","$17.31","< 5","12","N/A"
"2024","BARUCH HOUSES ADDITION",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","BARUCH",,"11","$33.50","29","< 5","N/A","< 5","$44.00","< 5","7","N/A"
"2024","BAISLEY PARK",,"5","$17.31","9","7","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","BAILEY AVENUE-WEST 193RD STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","AUDUBON",,"< 5","$28.56","< 5","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","ATLANTIC TERMINAL SITE 4B",,"< 5","$20.21","< 5","6","< 5","< 5","$20.42","N/A","N/A","N/A"
"2024","ASTORIA",,"< 5","$19.78","61","8","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","ARMSTRONG II",,"< 5","$21.16","16","< 5","< 5","< 5","$17.31","< 5","N/A","N/A"
"2024","ARMSTRONG I",,"< 5","$32.49","9","6","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","AMSTERDAM ADDITION",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","AMSTERDAM",,"7","$28.68","28","8","N/A","N/A","N/A","< 5","7","N/A"
"2024","ALBANY II",,"< 5","$17.31","12","8","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","ALBANY",,"< 5","$17.31","13","7","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","ADAMS",,"< 5","$22.00","15","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","830 AMSTERDAM AVENUE",,"N/A","N/A","12","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","572 WARREN STREET",,"N/A","N/A","< 5","< 5","< 5","N/A","N/A","N/A","< 5","N/A"
"2024","45 ALLEN STREET",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","344 EAST 28TH STREET",,"N/A","N/A","7","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","335 EAST 111TH STREET",,"< 5","$44.70","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","303 VERNON AVENUE",,"< 5","$17.31","8","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","154 WEST 84TH STREET",,"N/A","N/A","< 5","< 5","< 5","N/A","N/A","N/A","N/A","N/A"
"2024","1471 WATSON AVENUE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","131 SAINT NICHOLAS AVENUE",,"N/A","N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","1162-1176 WASHINGTON AVENUE",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","104-14 TAPSCOTT STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","BETHUNE GARDENS",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","UNKOWN",,"108","36.8","344","5","N/A","N/A","N/A","26","33","N/A"
"2023","SECTION 8*",,"60","26.95","1275","24","5","< 5","20.94","234","93","< 5"
"2023","WYCKOFF GARDENS",,"8","19.10","15","6","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","WSUR (SITE C) 589 AMSTERDAM AVENUE",,"N/A","N/A","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","WSUR (SITE B) 74 WEST 92ND STREET",,"< 5","15.80","5","< 5","< 5","< 5","15.80","N/A","N/A","N/A"
"2023","WSUR (SITE A) 120 WEST 94TH STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","WSUR (BROWNSTONES)",,"N/A","N/A","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","WOODSON",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","WOODSIDE",,"10","33.10","52","11","< 5","< 5","24.96","< 5","< 5","N/A"
"2023","WISE TOWERS",,"N/A","N/A","9","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","WILSON",,"< 5","16.25","13","< 5","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","WILLIAMSBURG",,"< 5","41.68","12","N/A","N/A","< 5","42.70","N/A","7","N/A"
"2023","WILLIAMS PLAZA",,"N/A","N/A","7","< 5","< 5","N/A","N/A","N/A","< 5","N/A"
"2023","WHITMAN",,"20","22.24","58","22","9","10","16.51","< 5","< 5","N/A"
"2023","WHITE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","WEST TREMONT AVENUE-SEDGWICK AVENUE AREA",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","WEST FARMS SQUARE CONVENTIONAL",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","WEST FARMS ROAD REHAB",,"N/A","N/A","6","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","WEST BRIGHTON II",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","WEST BRIGHTON I",,"< 5","15.26","62","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2023","WEEKSVILLE GARDENS",,"N/A","N/A","< 5","< 5","< 5","N/A","N/A","N/A","N/A","N/A"
"2023","WEBSTER",,"< 5","15.74","12","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","WASHINGTON HEIGHTS REHAB PHASE IV (D)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","WASHINGTON HEIGHTS REHAB PHASE IV (C)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","WASHINGTON HEIGHTS REHAB (GROUPS 1&2)",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","WASHINGTON",,"7","24.58","39","14","N/A","N/A","N/A","< 5","< 5","N/A"
"2023","WALD",,"10","29.10","30","8","< 5","< 5","15.80","6","8","N/A"
"2023","WAGNER",,"16","22.88","45","8","5","6","15.80","< 5","5","N/A"
"2023","VLADECK II",,"< 5","12.36","12","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","VLADECK",,"< 5","15.07","17","5","< 5","< 5","15.80","< 5","N/A","N/A"
"2023","VANDALIA AVENUE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","VAN DYKE II",,"N/A","N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","VAN DYKE I",,"15","20.23","37","9","7","< 5","16.85","< 5","6","N/A"
"2023","UPACA (SITE 6)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","UPACA (SITE 5)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","UNIVERSITY AVENUE REHAB",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","UNITY PLAZA (SITES 4-27)",,"< 5","15.32","14","12","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","UNITY PLAZA (SITES 17,24,25A)",,"N/A","N/A","8","N/A","N/A","< 5","15.80","N/A","N/A","N/A"
"2023","UNION AVENUE-EAST 166TH STREET",,"< 5","22.28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","UNION AVENUE-EAST 163RD STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","TWO BRIDGES URA (SITE 7)",,"< 5","42.70","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","TWIN PARKS WEST (SITES 1 & 2)",,"< 5","17.35","< 5","< 5","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","TWIN PARKS EAST (SITE 9)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","TOMPKINS",,"11","21.09","35","27","11","5","15.66","< 5","< 5","N/A"
"2023","TODT HILL",,"5","19.55","34","< 5","< 5","< 5","15.80","7","< 5","N/A"
"2023","TILDEN",,"10","20.85","38","10","5","5","19.03","< 5","< 5","N/A"
"2023","THROGGS NECK ADDITION",,"N/A","N/A","10","< 5","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","THROGGS NECK",,"5","17.31","17","5","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","THOMAS APARTMENTS",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","TELLER AVENUE-EAST 166TH STREET",,"< 5","14.83","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","TAYLOR STREET-WYTHE AVENUE",,"< 5","23.38","< 5","< 5","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","TAPSCOTT STREET REHAB",,"< 5","15.80","11","< 5","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","TAFT",,"8","19.21","16","10","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","SUTTER AVENUE-UNION STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","SURFSIDE GARDENS",,"< 5","22.61","10","< 5","< 5","< 5","15.80","N/A","N/A","N/A"
"2023","SUMNER",,"10","19.71","19","18","5","< 5","15.80","< 5","< 5","N/A"
"2023","STUYVESANT GARDENS II",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","STUYVESANT GARDENS I",,"7","16.02","15","< 5","< 5","< 5","17.20","< 5","N/A","N/A"
"2023","STRAUS",,"< 5","15.75","6","< 5","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","STERLING PLACE REHABS (STERLING-BUFFALO)",,"N/A","N/A","10","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","STERLING PLACE REHABS (SAINT JOHNS-STERLING)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","STEBBINS AVENUE-HEWITT PLACE",,"< 5","21.04","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","STAPLETON",,"7","15.61","81","5","< 5","< 5","16.10","< 5","< 5","N/A"
"2023","STANTON STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","SOUTH JAMAICA II",,"7","28.99","13","< 5","< 5","< 5","22.40","< 5","< 5","N/A"
"2023","SOUTH JAMAICA I",,"< 5","16.70","16","< 5","< 5","N/A","N/A","< 5","N/A","N/A"
"2023","SOUTH BRONX AREA (SITE 402)",,"< 5","23.00","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","SOUTH BEACH",,"< 5","13.60","27","< 5","< 5","N/A","N/A","< 5","< 5","N/A"
"2023","SOUNDVIEW",,"7","24.36","28","8","< 5","5","26.09","< 5","< 5","N/A"
"2023","SOTOMAYOR HOUSES",,"10","21.92","35","13","< 5","< 5","15.62","N/A","7","N/A"
"2023","SMITH",,"10","24.93","27","8","5","< 5","16.85","N/A","< 5","N/A"
"2023","SHELTON HOUSE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","SHEEPSHEAD BAY",,"5","16.38","21","8","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","SEWARD PARK EXTENSION",,"N/A","N/A","12","< 5","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","SEDGWICK",,"< 5","15.80","12","< 5","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","SARATOGA VILLAGE",,"< 5","18.26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","SAMUEL (MHOP) III",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","SAMUEL (MHOP) II",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","SAMUEL (MHOP) I",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","SAMUEL (CITY)",,"< 5","20.99","12","< 5","N/A","N/A","N/A","< 5","6","N/A"
"2023","SAINT NICHOLAS",,"8","15.92","29","11","< 5","< 5","15.80","< 5","5","N/A"
"2023","SAINT MARY'S PARK",,"5","22.85","13","9","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","SACK WERN",,"< 5","19.00","7","N/A","< 5","N/A","N/A","< 5","< 5","N/A"
"2023","RUTLAND TOWERS",,"< 5","12.36","< 5","< 5","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","RUTGERS",,"< 5","26.01","14","< 5","< 5","< 5","15.80","< 5","N/A","< 5"
"2023","ROOSEVELT II",,"< 5","17.37","13","< 5","< 5","< 5","15.80","< 5","N/A","N/A"
"2023","ROOSEVELT I",,"< 5","17.42","17","5","N/A","N/A","N/A","< 5","< 5","N/A"
"2023","ROBINSON",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","ROBBINS PLAZA",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","RIIS II",,"< 5","16.08","18","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2023","RIIS",,"< 5","19.00","27","7","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","RICHMOND TERRACE",,"< 5","19.15","45","< 5","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","REID APARTMENTS",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","REHAB PROGRAM (WISE REHAB)",,"< 5","21.04","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","REHAB PROGRAM (TAFT REHABS)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","REHAB PROGRAM (DOUGLASS REHABS)",,"< 5","21.04","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A"
"2023","REHAB PROGRAM (COLLEGE POINT)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","REDFERN",,"< 5","24.38","29","6","< 5","N/A","N/A","< 5","< 5","N/A"
"2023","RED HOOK WEST",,"7","16.72","47","20","5","< 5","15.80","< 5","10","N/A"
"2023","RED HOOK EAST",,"8","21.54","57","7","< 5","< 5","20.73","5","< 5","N/A"
"2023","RAVENSWOOD",,"11","24.14","104","14","6","< 5","15.62","6","6","N/A"
"2023","RANGEL",,"< 5","16.72","21","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","RANDALL AVENUE-BALCOM AVENUE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","RALPH AVENUE REHAB",,"< 5","15.80","5","< 5","< 5","< 5","15.80","N/A","N/A","N/A"
"2023","QUEENSBRIDGE SOUTH",,"10","17.11","67","12","< 5","< 5","15.56","< 5","< 5","N/A"
"2023","QUEENSBRIDGE NORTH",,"< 5","17.81","54","9","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","PUBLIC SCHOOL 139 (CONVERSION)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","POMONOK",,"10","24.30","74","9","< 5","< 5","16.73","< 5","5","N/A"
"2023","POLO GROUNDS TOWERS",,"6","23.39","34","9","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","PINK",,"23","19.40","51","20","7","6","18.46","< 5","< 5","N/A"
"2023","PENNSYLVANIA AVENUE-WORTMAN AVENUE",,"N/A","N/A","8","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2023","PELHAM PARKWAY",,"6","25.00","20","5","< 5","< 5","15.45","N/A","< 5","N/A"
"2023","PATTERSON",,"10","22.58","58","10","< 5","< 5","15.80","< 5","6","N/A"
"2023","PARKSIDE",,"< 5","16.56","19","< 5","N/A","< 5","15.80","< 5","< 5","N/A"
"2023","PARK ROCK REHAB",,"N/A","N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","PARK AVENUE-EAST 122ND, 123RD STREETS",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
