year,nycha_development,borough,total_number_of_resident_job_placements,average_wage_of_such_residents,total_number_of_resident_connections_to_services,total_number_of_residents_that_applied_for_the_nycha_resident_training_academy,total_number_of_residents_that_were_accepted_and_enrolled,total_number_residents_placed_into_full-time_or_part-time_jobs,number_of_residents_that_enrolled_in_financial_counseling_services/workshops_through_the_rees_zone_partner_program,total_number_of_residents_enrolled_in_vocational_training_programs_through_the_program,total_number_of_residents_enrolled_in_prep_courses_for_english_as_a_second_language_(esol)_or_the_test_assessing_secondary_completion_(tasc)_through_the_program,service_connections
2024.0,JACKSON,Unknown,8.0,35.14,16.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0
2024.0,ISAACS,Unknown,7.0,23.41,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2024.0,INTERNATIONAL TOWER,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,INGERSOLL,Unknown,8.0,22.65,69.0,16.0,0.0,0.0,0.0,19.0,0.0,69.0
2024.0,INDEPENDENCE,Unknown,0.0,17.31,16.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0
2024.0,HYLAN,Unknown,0.0,36.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,HUNTS POINT AVENUE REHAB,Unknown,0.0,17.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,HUGHES APARTMENTS,Unknown,0.0,31.01,16.0,7.0,0.0,0.0,0.0,0.0,0.0,16.0
2024.0,HOWARD AVENUE-PARK PLACE,Unknown,0.0,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,HOWARD AVENUE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,HOWARD,Unknown,9.0,17.71,30.0,18.0,0.0,0.0,0.0,6.0,0.0,30.0
2024.0,HOPE GARDENS,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,HOLMES TOWERS,Unknown,0.0,17.11,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2024.0,HOE AVENUE-EAST 173RD STREET,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,HIGHBRIDGE REHABS (NELSON AVENUE),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,HIGHBRIDGE REHABS (ANDERSON AVENUE),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
